Date & Time,Usage,Generation,Net_Meter,Volt,Garage_E,Garage_W,Phase_A,Phase_B,Solar
2014-01-01,118.951702219,121.92750444800001,150.788577775,3.073502218,0.003752237,0.012817775,65.871734446,53.079967773999996,121.92750444800001
2014-01-02,158.081871113,0.940353335,159.022224442,47.952377774,0.049642225,0.045116664,84.38173111,73.700140004,0.940353335
2014-01-03,117.970751119,2.565496667,116.971474448,4.8157022220000005,0.005835549,0.016977781,66.721888885,51.248862224,2.565496667
2014-01-04,167.351729999,5.6153199990000005,163.138503329,58.024342225,0.060446666,0.051743335,88.070005554,79.281724448,5.6153199990000005
2014-01-05,132.846994446,32.461335558,117.527605561,4.056771119,0.004928888,0.013042225,75.03031333,57.816681115,32.461335558
2014-01-06,151.63128333,8.715908884,146.399647782,45.635306669,0.047243333,0.044053349,82.63089333399999,69.000389999,8.715908884
2014-01-07,139.269526666,166.876868892,270.074353336,45.691975559,0.047393327,0.043691116,67.345773338,71.923753335,166.876868892
2014-01-08,88.491797779,160.523573335,200.647442221,0.220782225,0.001088883,0.010366673,38.036806673,50.454991109,160.523573335
2014-01-09,121.129027779,155.243802222,197.791138896,0.21731999800000001,0.001024438,0.010859988,64.01476111,57.114266665,155.243802222
2014-01-10,141.71498667,9.810720001,135.631111115,57.737206668,0.059715557,0.052327766,74.493207777,67.22177888899999,9.810720001
2014-01-11,145.189536663,7.055131112,139.337969995,47.453355552,0.049293337,0.045720008,83.553776663,61.63576,7.055131112
2014-01-12,129.249460003,34.665780002,108.494828891,35.142219999,0.036475564,0.037073334,72.126895558,57.122564446,34.665780002
2014-01-13,175.485746669,128.122879997,200.501517779,46.679631107,0.048281112,0.045253327,96.682777779,78.80296889,128.122879997
2014-01-14,140.66526776999999,8.708753334,133.33037888799998,46.818888888,0.048013344,0.045573328,73.477758886,67.187508893,8.708753334
2014-01-15,149.800892221,151.99398889100001,235.15053889,46.601395553,0.048106674,0.045579999,82.998034446,66.802857774,151.99398889100001
2014-01-16,152.335862219,14.155433331,148.674897779,45.692951116,0.047165562,0.044722224,87.19422666999999,65.141635557,14.155433331
2014-01-17,135.711645555,130.939526661,231.733267776,46.193306668,0.047684449,0.044949996,69.809175558,65.902469998,130.939526661
2014-01-18,137.084780002,5.733146667,132.624046666,0.216322225,0.000814459,0.011940004,83.786676664,53.298103332,5.733146667
2014-01-19,116.098503334,45.347086668,110.47807666599999,0.219695559,0.0009466710000000001,0.016872236,65.605073332,50.493430006,45.347086668
